apartment_number,room_number,x_center,y_center,z_center,n_windowarea,e_windowarea,s_windowarea,w_windowarea,9am_mean_fraction_body_sunlight_exposure,9am_mean_indoor_mrt,9am_working_mean_pmv,9am_cooking_mean_pmv,9am_sleeping_mean_pmv,9am_sitting_mean_pmv,12pm_mean_fraction_body_sunlight_exposure,12pm_mean_indoor_mrt,12pm_working_mean_pmv,12pm_cooking_mean_pmv,12pm_sleeping_mean_pmv,12pm_sitting_mean_pmv,3pm_mean_fraction_body_sunlight_exposure,3pm_mean_indoor_mrt,3pm_working_mean_pmv,3pm_cooking_mean_pmv,3pm_sleeping_mean_pmv,3pm_sitting_mean_pmv,6pm_mean_fraction_body_sunlight_exposure,6pm_mean_indoor_mrt,6pm_working_mean_pmv,6pm_cooking_mean_pmv,6pm_sleeping_mean_pmv,6pm_sitting_mean_pmv,9pm_mean_fraction_body_sunlight_exposure,9pm_mean_indoor_mrt,9pm_working_mean_pmv,9pm_cooking_mean_pmv,9pm_sleeping_mean_pmv,9pm_sitting_mean_pmv
54,0,-37.708038,38.376091,3,0,0,0,0,0.083333,22.948495,-0.530891,0.583887,-2.153206,-0.836178,0.027778,22.572048,-0.701902,0.468297,-2.408435,-1.024442,0,22.518026,-0.759836,0.42819,-2.496299,-1.087931,0,22.32997,-0.772285,0.421823,-2.51229,-1.102221,0,22,-0.733488,0.453381,-2.448181,-1.060938
54,1,-37.708038,35.376091,3,0,0,0,2.292003,0,22.339935,-0.611533,0.534406,-2.268065,-0.926285,0,22.475653,-0.714434,0.46056,-2.426624,-1.038404,0.083333,23.104587,-0.682035,0.476028,-2.385283,-1.001006,0.416667,24.607468,-0.470874,0.607991,-2.079211,-0.765681,0,22,-0.733488,0.453381,-2.448181,-1.060938
54,2,-40.708038,38.376091,3,0,0,3.5,3.5,0,23.122329,-0.506369,0.598086,-2.120394,-0.808604,0.111111,24.304321,-0.470373,0.609592,-2.080919,-0.765645,0.222222,25.348188,-0.382231,0.658874,-1.961473,-0.666033,0.555556,26.271641,-0.249667,0.742988,-1.766167,-0.518246,0,22,-0.733488,0.453381,-2.448181,-1.060938
55,0,-37.708038,32.376091,3,0,0,0,0,0.083333,22.797761,-0.551037,0.571765,-2.181475,-0.858756,0.027778,22.361135,-0.730105,0.451328,-2.448027,-1.056051,0,22.236846,-0.797476,0.405427,-2.54914,-1.130116,0,22.150865,-0.796225,0.407421,-2.5459,-1.129052,0,22,-0.733488,0.453381,-2.448181,-1.060938
55,1,-40.708038,32.376091,3,0,0,0,2.292003,0,22.561764,-0.581736,0.552428,-2.226229,-0.892904,0,22.786046,-0.672838,0.485839,-2.367908,-0.991939,0.083333,23.518389,-0.626392,0.509655,-2.30739,-0.938763,0.416667,24.871049,-0.435718,0.629238,-2.030079,-0.726294,0,22,-0.733488,0.453381,-2.448181,-1.060938
56,0,-37.708038,47.376091,3,0,0,0,0,0.083333,22.991822,-0.525097,0.587375,-2.145077,-0.829684,0.027778,22.632674,-0.693788,0.473178,-2.397044,-1.015348,0,22.598849,-0.749005,0.434729,-2.481095,-1.075793,0,22.381452,-0.765399,0.425966,-2.502623,-1.094503,0,22,-0.733488,0.453381,-2.448181,-1.060938
56,1,-37.708038,44.376091,3,0,0,0,2.292003,0,22.488811,-0.591564,0.546491,-2.240029,-0.903907,0,22.683967,-0.686437,0.477505,-2.3873,-1.007146,0.083333,23.382302,-0.644755,0.49853,-2.333095,-0.959237,0.416667,24.784365,-0.44728,0.622236,-2.046206,-0.739245,0,22,-0.733488,0.453381,-2.448181,-1.060938
56,2,-40.708038,47.376091,3,0,0,3.5,3.5,0,23.23873,-0.490694,0.607594,-2.09837,-0.791057,0.111111,24.467196,-0.448428,0.622916,-2.050059,-0.741139,0.222222,25.565324,-0.353169,0.676647,-1.920226,-0.63362,0.555556,26.409951,-0.231161,0.754199,-1.740304,-0.497559,0,22,-0.733488,0.453381,-2.448181,-1.060938
57,0,-37.708038,26.376091,3,0,0,0,0,0.083333,22.991822,-0.525097,0.587375,-2.145077,-0.829684,0.027778,22.632674,-0.693788,0.473178,-2.397044,-1.015348,0,22.598849,-0.749005,0.434729,-2.481095,-1.075793,0,22.381452,-0.765399,0.425966,-2.502623,-1.094503,0,22,-0.733488,0.453381,-2.448181,-1.060938
57,1,-37.708038,23.376091,3,0,0,0,2.292003,0,22.488811,-0.591564,0.546491,-2.240029,-0.903907,0,22.683967,-0.686437,0.477505,-2.3873,-1.007146,0.083333,23.382302,-0.644755,0.49853,-2.333095,-0.959237,0.416667,24.784365,-0.44728,0.622236,-2.046206,-0.739245,0,22,-0.733488,0.453381,-2.448181,-1.060938
